"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"NCG06","OUT045",3952.34216775428
"DRC36","OUT045",2736.71248893149
"FDV21","OUT019",38.7852519091742
"FDB53","OUT046",2381.18201168708
"DRP47","OUT019",2028.54285971391
"FDA14","OUT013",2385.30496361226
"DRC24","OUT035",2584.69915359518
"FDW21","OUT018",1368.22093046859
"NCH29","OUT046",1531.1350619472
"FDU58","OUT013",3061.87249870276
"FDY27","OUT017",2940.11234558912
"FDV56","OUT035",1950.98719727303
"FDT59","OUT046",3670.02478970318
"FDB23","OUT046",3604.81216197122
"FDR49","OUT045",700.279187899676
"FDB03","OUT010",1919.17221328511
"FDN39","OUT045",2630.89270564102
"FDX02","OUT027",4993.15316407832
"FDQ16","OUT027",3164.44167658866
"FDU35","OUT018",1322.67309063422
"NCT29","OUT013",1950.36975870108
"FDZ27","OUT046",833.73733996113
"FDN57","OUT017",2364.63973435023
"FDA03","OUT018",2123.49841454332
"FDZ36","OUT045",2906.24173634963
"NCU05","OUT013",1348.19742296221
"FDT39","OUT018",2205.58466871815
"FDK60","OUT017",1701.50705544506
"FDZ25","OUT017",2858.3599664582
"FDG12","OUT046",1977.3139083965
"DRB01","OUT019",1106.69079079493
"NCC43","OUT027",5359.88149968165
"FDX13","OUT019",2011.49613519253
"FDM22","OUT049",1017.21201663212
"FDJ03","OUT027",2326.35733048447
"FDU14","OUT018",3677.19650212497
"FDB33","OUT010",657.957575918613
"FDP27","OUT046",3028.38070331276
"FDO38","OUT010",-661.743456487417
"FDE28","OUT027",5139.90120260888
"FDO27","OUT035",1699.88917878227
"DRL23","OUT027",3148.33860159615
"FDS28","OUT046",953.299524038328
"FDX24","OUT013",1540.05726584539
"FDZ02","OUT035",1751.31041728698
"FDL46","OUT045",1773.83338547913
"FDS60","OUT027",4290.43008919593
"NCO06","OUT017",652.130946524019
"FDO16","OUT035",1516.37526509561
"FDC60","OUT049",1526.05425673536
"FDA48","OUT018",3199.10954851255
"FDZ36","OUT027",4435.06168646622
"FDK27","OUT045",1878.86391877524
"FDW23","OUT018",390.350828921606
"FDM14","OUT018",1497.96978452773
"FDM14","OUT013",1775.82512050916
"FDW60","OUT018",2583.39792024773
"FDE21","OUT013",1911.5858440716
"NCM42","OUT035",1860.56238129451
"FDY59","OUT010",-390.307531484293
"DRI49","OUT049",1391.94461275322
"FDT28","OUT019",533.556848056034
"FDQ22","OUT018",411.252842543677
"FDR60","OUT049",1350.53437627724
"FDC50","OUT019",-400.487767265008
"FDV24","OUT013",2437.98988466802
"DRF48","OUT010",1048.66818994348
"FDQ47","OUT046",684.386715929508
"DRN36","OUT049",1653.09912057834
"NCY06","OUT035",2157.5623127972
"FDE52","OUT035",1667.60806330032
"NCB54","OUT045",1920.69989070391
"NCF31","OUT035",2578.47279156373
"FDJ08","OUT027",4476.4988594167
"NCC07","OUT017",1774.55117208258
"NCD19","OUT027",2328.79367760482
"FDL46","OUT049",1968.55113344848
"FDM20","OUT045",3834.37068627733
"NCI06","OUT010",943.741495081492
"DRM11","OUT035",4191.79948120985
"NCH07","OUT018",2242.21380524218
"FDS23","OUT013",2037.09022095162
"FDO49","OUT018",613.707818007942
"FDS35","OUT049",1151.96114253312
"DRK39","OUT045",1277.11352521409
"DRI39","OUT049",1037.70576213582
"FDV04","OUT017",2654.30610093328
"NCN14","OUT035",3011.34353816067
"FDH08","OUT013",3694.97188971518
"FDS20","OUT046",2930.09605968606
"FDV40","OUT049",1350.76934158076
"FDZ48","OUT010",-166.734511996092
"FDS24","OUT027",2896.17772970664
"FDK44","OUT049",2880.03132901513
"FDS48","OUT045",2362.75483669905
"FDK26","OUT010",1078.09043548407
"FDD23","OUT045",2973.38559576822
"NCH54","OUT017",2670.90295433755
"NCP14","OUT010",-255.410723701504
"FDM60","OUT010",-1177.93070170754
"FDV24","OUT017",2503.00363478918
"FDH08","OUT018",3353.66473895024
"FDS12","OUT027",3446.61226937292
"FDR39","OUT027",4324.08585106271
"FDP12","OUT027",2152.46951999754
"DRF60","OUT027",5169.74665871929
"FDC09","OUT035",1857.3828331722
"FDF50","OUT018",2827.66332361523
"FDG28","OUT035",4033.31545797424
"NCE19","OUT017",987.371847238652
"NCM53","OUT010",-218.400038821538
"NCN18","OUT049",1836.69255650331
"FDF32","OUT035",3317.62584267417
"FDF11","OUT013",3858.31100835153
"DRI59","OUT049",3643.14788769529
"NCG54","OUT035",2832.82888231039
"FDM44","OUT046",1656.40090706181
"FDT57","OUT018",3461.21566383519
"FDV24","OUT046",2398.41604036457
"FDI50","OUT019",1743.91750997864
"FDS09","OUT035",1032.14677377889
"NCC31","OUT027",3917.04079584133
"FDQ07","OUT019",1608.36065221398
"FDC22","OUT017",3161.59808284979
"FDZ56","OUT046",2729.2275893228
"FDZ40","OUT019",-1003.88576754759
"FDS46","OUT027",3367.39574009656
"DRD24","OUT045",2198.00977246814
"FDV45","OUT017",3110.75204358069
"FDL26","OUT045",2424.53227377951
"FDA56","OUT018",1703.46369541188
"FDN27","OUT046",1879.00244734471
"FDM20","OUT049",3981.25664819723
"FDO16","OUT017",1449.14059117998
"FDL03","OUT035",3304.66547108037
"FDE58","OUT046",1851.31765783773
"FDI02","OUT027",3269.11942025124
"NCC55","OUT019",-1237.28209451793
"FDR03","OUT018",3054.2282486984
"FDB14","OUT017",1617.07941971328
"FDR45","OUT013",3838.56963444845
"NCN07","OUT017",2131.52238611146
"FDM51","OUT019",-186.412065785804
"FDT52","OUT027",5356.47788119073
"FDL26","OUT046",2470.22709798144
"NCZ42","OUT046",3761.53878601917
"DRI47","OUT019",445.531413632186
"FDW40","OUT013",2346.73661759453
"FDN34","OUT046",2748.13222853018
"FDS01","OUT035",3003.31064379318
"NCG55","OUT045",1762.19007454705
"FDC11","OUT035",1529.15919629224
"FDX35","OUT018",3317.50210257397
"NCB06","OUT046",2539.84517963824
"FDR09","OUT019",2173.69904458595
"FDC53","OUT017",1679.51071455967
"FDY45","OUT013",4052.81694396053
"FDA22","OUT010",755.253354903561
"FDE02","OUT035",1671.22151023354
"FDW21","OUT045",1578.28954789405
"FDV34","OUT046",1279.69637188662
"FDS59","OUT049",1902.6397623922
"NCW17","OUT017",2107.35680669549
"NCK54","OUT046",1854.52641783766
"FDG17","OUT019",1983.63675133603
"FDG35","OUT017",2899.33657004646
"FDD08","OUT010",-1222.52522701441
"NCO07","OUT017",3432.82669627791
"FDJ10","OUT010",361.309256878798
"FDW36","OUT017",1778.19074975392
"FDW21","OUT010",-260.86291031419
"FDY19","OUT017",1984.59651465439
"DRE03","OUT013",807.870387145066
"NCC55","OUT049",754.321841016879
"FDH52","OUT010",-844.444444592035
"FDO09","OUT017",4297.22113051955
"FDU43","OUT045",3755.31976735299
"FDX09","OUT010",869.112397864416
"FDH40","OUT019",-501.722593008157
"FDW58","OUT017",1768.46736857915
"FDC47","OUT017",3680.22015494865
"NCR41","OUT035",1651.38907117432
"DRG49","OUT035",3976.74420824704
"FDC52","OUT027",3971.46280306598
"FDY13","OUT046",1250.82472682755
"FDY35","OUT013",835.799170466712
"FDI35","OUT017",3004.68171143021
"NCU18","OUT049",2363.35748023451
"FDY33","OUT018",2300.79347922068
"FDC15","OUT027",3961.81235154364
"FDU01","OUT049",3103.5700315928
"NCU42","OUT046",2697.24299602751
"NCV29","OUT018",2549.64425300335
"NCY30","OUT017",2988.1649477547
"FDQ46","OUT049",1867.45993417662
"FDG58","OUT027",3958.7871173757
"FDK33","OUT017",3482.57307767138
"NCD07","OUT045",1752.75288637622
"NCX29","OUT027",3755.27582254945
"NCT42","OUT013",2384.39947113421
"DRN59","OUT035",901.811445851717
"FDI44","OUT035",1450.60142393411
"FDA45","OUT049",2897.57541771823
"FDP31","OUT045",993.68734778034
"FDY01","OUT046",1856.40489127347
"FDT09","OUT018",1872.8645537972
"DRH03","OUT027",2980.48104551576
"FDA36","OUT018",2686.40464322576
"NCF31","OUT017",2549.23276471843
"FDG14","OUT049",2574.01189580201
"FDG28","OUT027",5363.94486811554
"FDU14","OUT049",4055.51782987486
"FDY47","OUT019",225.170047043215
"FDI56","OUT049",1566.53915949225
"DRD01","OUT013",982.527400991773
"FDM22","OUT046",945.002571547898
"FDH33","OUT013",746.10062369049
"DRZ24","OUT013",1884.45929261645
"NCQ38","OUT046",1670.44191456277
"FDO16","OUT027",2813.71063234556
"FDU07","OUT027",3872.92059973039
"NCB07","OUT013",3085.10056915612
"FDU48","OUT045",2009.76072187679
"NCM43","OUT045",2562.71635835855
"FDR31","OUT010",454.625449238192
"DRK49","OUT018",425.570266048139
"NCI30","OUT010",1904.48084795735
"DRD60","OUT017",2978.57897737251
"NCG19","OUT046",3660.20145571395
"FDH12","OUT035",1825.15669393391
"FDM32","OUT035",1636.06650036133
"FDM27","OUT035",2690.37228479603
"NCU53","OUT027",4058.88428600502
"NCQ18","OUT046",1557.93224636558
"FDS10","OUT013",2879.57175430499
"FDB33","OUT027",3997.08801142951
"FDI12","OUT013",1467.82354874749
"NCW42","OUT013",3503.9473073917
"NCC06","OUT018",1734.13877251416
"FDW02","OUT017",2121.99270517415
"NCD43","OUT017",1764.61090791314
"FDM57","OUT018",1125.08040460457
"FDA58","OUT017",3828.97284353982
"FDK56","OUT046",2949.12839310157
"FDP52","OUT045",3613.84447611771
"FDW20","OUT018",1694.22491130045
"FDS52","OUT049",1725.6788201224
"NCT29","OUT018",1609.98468760949
"NCL54","OUT013",2825.93707083313
"FDC05","OUT045",3116.18845654718
"FDF34","OUT035",3318.88010504988
"FDP03","OUT027",3447.8685965447
"FDD32","OUT010",-501.15856996779
"FDZ10","OUT045",1943.55531256686
"FDZ40","OUT035",1043.56324966332
"FDD51","OUT018",480.744749207961
"NCY30","OUT019",936.812478515151
"FDP58","OUT017",3535.49821094401
"FDV49","OUT017",4272.89530261985
"FDY24","OUT019",-1047.17333691073
"NCO55","OUT017",1792.08708177014
"FDR13","OUT017",2010.23720590671
"FDS51","OUT017",1129.51862988452
"FDP26","OUT045",1603.74566966819
"NCB54","OUT027",3473.92103544689
"FDF32","OUT017",3245.7447385584
"FDN31","OUT018",2749.44604769835
"DRM48","OUT017",715.68579887431
"FDN20","OUT049",2811.4042268298
"DRL01","OUT046",3689.73448483799
"FDV56","OUT049",1878.27773079385
"DRH13","OUT027",3164.18584922898
"FDA03","OUT017",2502.18541636772
"FDF47","OUT027",4961.9957145054
"FDX32","OUT046",2409.92888683623
"FDX57","OUT049",1690.45810087412
"NCA30","OUT045",2915.70999141509
"FDO49","OUT013",922.504619879276
"FDL04","OUT019",-248.627607773875
"DRM48","OUT035",773.132987717548
"FDR16","OUT013",3398.65877841906
"NCC19","OUT018",2740.59901822901
"NCE42","OUT045",3620.96240427396
"FDY24","OUT017",1003.75783639931
"FDH19","OUT049",2907.50875142034
"FDJ46","OUT013",2804.75591554793
"FDN45","OUT010",1597.13039304277
"FDY08","OUT035",2441.24311671435
"FDZ37","OUT035",1605.99843738689
"NCT30","OUT045",707.365176094951
"DRY23","OUT018",466.17193733716
"NCZ30","OUT018",1627.97122064758
"FDC44","OUT018",1521.76810775446
"FDB45","OUT035",1825.76760561164
"FDY04","OUT013",2684.72927114615
"FDM27","OUT046",2589.13556625276
"FDZ43","OUT017",3968.1721966528
"FDT39","OUT019",579.93376290504
"NCC06","OUT019",83.0969325929741
"FDL15","OUT027",3930.94301987045
"FDL57","OUT017",4197.63013390061
"FDU08","OUT046",1616.81704727373
"FDK40","OUT017",4255.44592423678
"FDQ12","OUT010",1712.70872550634
"FDS48","OUT017",2544.48853148558
"FDP09","OUT045",3281.11817933045
"FDW21","OUT049",1717.24643236867
"FDY25","OUT035",3041.18170872137
"DRE13","OUT017",1476.28506718134
"FDV43","OUT019",-1166.79598276717
"FDD22","OUT045",1706.89954700985
"FDM46","OUT019",-445.116564718729
"NCO30","OUT010",1008.74106670082
"FDM25","OUT046",2833.74640067848
"NCN41","OUT049",2021.62389903903
"FDU24","OUT045",1455.53779436018
"FDZ50","OUT046",2982.5206883476
"FDP45","OUT013",4038.90523371328
"NCM54","OUT045",1903.57745155697
"FDW10","OUT019",869.996324856179
"FDP20","OUT017",2130.75792514439
"FDK32","OUT046",2487.81263186425
"FDN52","OUT049",1554.17589131935
"FDM58","OUT045",1736.08889579616
"FDZ46","OUT027",3208.83015100319
"NCA18","OUT018",1570.28103995707
"FDD35","OUT046",1943.782719351
"NCK31","OUT035",960.033888173702
"FDI40","OUT027",3099.50727758339
"FDT50","OUT019",-299.837829554282
"NCT06","OUT046",2617.8575336477
"FDT31","OUT035",3147.43121365105
"FDT45","OUT049",967.606648204798
"FDT13","OUT045",2921.26756913243
"FDO50","OUT045",1401.8476755173
"NCU18","OUT010",338.373487582883
"NCR54","OUT049",3166.82772635633
"NCO18","OUT018",2558.11892462671
"FDU09","OUT045",888.507563854559
"FDT13","OUT018",2720.22151376616
"FDE09","OUT046",1813.66253455411
"NCK53","OUT019",-285.745596521714
"FDG45","OUT049",3472.31204905611
"DRH15","OUT035",900.796095556034
"FDO21","OUT019",1700.07456651198
"FDD14","OUT027",4344.47530823587
"FDC09","OUT046",1712.93557278932
"FDH45","OUT027",2235.31907110297
"FDV32","OUT046",1051.27416898332
"FDG12","OUT035",2077.16728800101
"FDS32","OUT013",2354.04412784756
"NCL55","OUT018",3661.69069873078
"DRE01","OUT035",3946.42183288533
"DRE15","OUT049",1381.70409362415
"NCL42","OUT045",3799.91002441325
"FDP31","OUT013",1068.22386870186
"FDN33","OUT018",1248.72814207708
"FDZ59","OUT046",2655.43435041898
"FDE45","OUT010",950.692556337172
"FDJ07","OUT013",1929.74878098394
"FDQ45","OUT018",2712.21420495317
"FDM33","OUT027",4909.20736850362
"FDO15","OUT010",-594.59748359063
"FDM46","OUT013",1499.52055630213
"FDR03","OUT045",3259.83622512306
"FDY49","OUT018",2435.89123566825
"FDQ60","OUT045",1832.40361633708
"FDW10","OUT049",2885.01937633075
"FDO51","OUT049",912.1280502593
"FDJ40","OUT018",1510.82638841887
"FDS20","OUT018",2642.38760496061
"FDU45","OUT013",1867.91484771242
"FDV02","OUT035",2865.27570336201
"FDN09","OUT046",3827.776499427
"NCM55","OUT027",4396.52480058393
"FDN23","OUT018",2095.74246524656
"FDY31","OUT010",422.039310800933
"FDW03","OUT010",-167.58278929808
"FDD14","OUT046",2881.67876795344
"FDV23","OUT017",2103.33725060741
"DRI03","OUT045",2720.43612685515
"FDN13","OUT035",1728.23367806623
"FDF45","OUT027",2474.75878706301
"FDU46","OUT035",1624.04976807794
"FDB57","OUT049",3663.86909395993
"FDV12","OUT049",1737.37900686021
"FDQ58","OUT013",2461.04564401911
"NCA18","OUT017",1931.1328747949
"FDH52","OUT049",1137.00819600976
"FDM24","OUT018",2158.49987073854
"NCP43","OUT027",4314.68807424986
"NCO18","OUT019",908.602233857496
"FDM32","OUT017",1587.43825061023
"NCL07","OUT017",756.500020673111
"FDK03","OUT013",4077.08872381519
"FDP59","OUT017",1782.06626242169
"FDQ24","OUT049",4045.36702637505
"FDQ16","OUT018",1465.2040253888
"FDU44","OUT013",2667.08884973686
"FDH28","OUT010",-1222.77179188723
"FDV28","OUT019",-1265.46398298804
"FDM22","OUT045",863.048585335907
"FDR56","OUT046",3161.9395723549
"FDV39","OUT049",3254.18065442178
"FDU37","OUT019",-551.259032244213
"FDQ11","OUT010",2156.74699740946
"FDX02","OUT045",3480.40933969399
"NCS42","OUT018",1201.23754975961
"FDY57","OUT027",2988.67778397767
"FDB21","OUT049",3897.60761302581
"FDE28","OUT017",3758.63277404077
"FDQ55","OUT017",1979.41138503031
"FDA48","OUT049",3608.41906552537
"FDZ19","OUT045",2705.57401172048
"NCC43","OUT045",3868.6358298
"NCV18","OUT046",1303.36191727486
"NCA42","OUT018",2249.40275283165
"FDY45","OUT046",4038.92855122922
"NCC30","OUT045",2766.99356266188
"FDM57","OUT013",1466.05464840443
"FDL09","OUT010",751.633722200363
"FDB09","OUT027",3441.84426907794
"FDT44","OUT035",2035.61520731811
"NCT06","OUT027",4060.74622745394
"FDX26","OUT049",3020.54363193083
"FDK32","OUT013",2548.56677956139
"DRA12","OUT046",2299.77963360206
"FDO46","OUT010",1126.52894238946
"FDE52","OUT013",1511.43989691431
"NCH42","OUT045",3536.15436414406
"FDV08","OUT035",891.044538425444
"FDB47","OUT018",3053.21379443968
"FDC28","OUT010",-156.776811203161
"FDD22","OUT046",1804.95931102176
"FDS07","OUT027",3296.68587139138
"DRI13","OUT045",3357.1502986342
"FDG32","OUT018",3226.81413683362
"FDU14","OUT017",4063.26396137822
"FDD28","OUT019",-938.836159112386
"NCP41","OUT017",1838.99039432933
"FDS08","OUT049",2881.77733592133
"FDX47","OUT045",2506.03572340821
"FDC53","OUT019",-267.269837577692
"FDQ19","OUT035",4003.58736972989
"FDL14","OUT045",2463.17282616669
"FDM33","OUT019",1581.87063323501
"FDA51","OUT045",1766.64940436359
"FDZ27","OUT018",565.019272113803
"FDT04","OUT046",692.86938747909
"DRC13","OUT049",2101.09507039125
"FDR16","OUT027",4855.35669938435
"FDQ03","OUT027",5232.21611166937
"FDE38","OUT035",2815.72435676277
"DRH23","OUT027",2341.59953724681
"FDT11","OUT019",1129.09999745453
"FDD09","OUT035",3036.97850399654
"FDR40","OUT045",1332.32455001284
"FDX07","OUT017",3079.65995400218
"FDR07","OUT035",1697.53961419063
"FDA51","OUT017",1952.91561618143
"FDT59","OUT019",1769.23716130434
"FDF20","OUT017",3227.71233759332
"FDR13","OUT045",1811.95876198983
"FDY26","OUT049",3473.35275039578
"FDW04","OUT017",2197.37734118285
"FDK52","OUT017",3677.47425700863
"FDN60","OUT049",2613.67187081939
"FDM09","OUT019",860.297914106719
"FDP46","OUT049",1522.67633880115
"FDB50","OUT019",-626.598061120657
"NCQ29","OUT049",4145.2788079636
"FDP16","OUT027",5316.68589317578
"FDX33","OUT018",2333.60261556172
"FDP07","OUT010",1197.41330477259
"FDN22","OUT046",3971.00678575325
"FDF39","OUT049",4284.38337806295
"FDS21","OUT017",1113.68322365208
"NCM42","OUT013",1714.18991948166
"FDK50","OUT019",722.266540714505
"DRF13","OUT027",3813.6015105802
"FDH35","OUT018",2340.47850351183
"FDP60","OUT018",1321.53757896487
"DRJ49","OUT027",3489.7245117593
"NCT42","OUT019",456.162141000503
"FDE38","OUT049",2766.71607186113
"FDI04","OUT049",3292.39663262125
"NCH54","OUT045",2444.91054711103
"FDT56","OUT049",1094.3849099829
"DRD15","OUT018",3394.21768078999
"FDV58","OUT013",3079.13023271823
"FDP21","OUT049",3111.09957550067
"FDH05","OUT013",3743.02639024371
"FDR10","OUT027",4043.92996460173
"NCP06","OUT045",2303.49214968407
"FDF33","OUT049",1821.83274522216
"DRK37","OUT013",2979.08594093155
"DRH49","OUT045",1285.19400038862
"FDT58","OUT013",2700.7756107252
"FDD41","OUT018",1421.1375888589
"FDP40","OUT018",1495.11676816387
"FDM51","OUT027",3153.08684285947
"FDO45","OUT010",-458.9357399187
"FDW33","OUT010",-228.086296474425
"FDY24","OUT045",820.331222210002
"FDB10","OUT010",1825.40333925718
"FDM40","OUT035",2415.96251442593
"NCI06","OUT017",2970.82555619124
"FDW12","OUT019",461.324397655452
"FDX48","OUT027",3978.9926030182
"NCW05","OUT027",3106.48537593729
"FDX27","OUT017",1664.58590928472
"DRM37","OUT045",3055.44414344166
"FDA38","OUT045",3734.44744694786
"FDR36","OUT046",721.83273678555
"FDZ45","OUT046",3155.46208222946
"FDG05","OUT017",2684.53224031822
"FDK28","OUT013",4074.20927004408
"FDV47","OUT045",1342.63322115305
"FDN21","OUT045",2490.66279260096
"FDP20","OUT027",3467.5862954802
"FDI35","OUT045",2833.14605311311
"DRY23","OUT013",791.056788854514
"FDA56","OUT017",2077.69339139781
"FDB09","OUT013",1997.94951252057
"NCO26","OUT027",3282.70593266463
"FDQ49","OUT018",2283.8763439313
"FDI52","OUT027",3372.54655016388
"FDZ44","OUT027",3335.57460066217
"FDZ09","OUT018",2339.31987848921
"FDY03","OUT049",1946.21151406209
"NCG42","OUT017",2128.19298310394
"DRI13","OUT027",4892.83118013323
"FDQ32","OUT013",2072.57661753239
"FDW16","OUT035",1660.13194443029
"FDU27","OUT046",807.906728051988
"FDR28","OUT010",746.352179724662
"FDQ49","OUT010",667.019363554674
"FDS37","OUT046",1849.28416991733
"FDW26","OUT018",3260.3286556497
"FDX12","OUT018",3570.37073830101
"NCP06","OUT013",2422.06009681124
"FDW45","OUT010",422.039966921933
"NCN30","OUT049",1611.2590226962
"FDN24","OUT049",963.199296091514
"NCL41","OUT027",2040.1772155343
"FDR02","OUT019",-127.463332956628
"FDD09","OUT010",996.804554652289
"FDS33","OUT010",-483.853181027109
"FDU22","OUT045",1826.78999440023
"FDI53","OUT013",2657.54032953436
"DRH01","OUT049",2871.80674188194
"FDX32","OUT013",2387.71812475196
"NCP30","OUT018",374.689308317399
"FDB60","OUT045",3050.70744993434
"FDB14","OUT049",1622.72284349352
"NCP02","OUT035",1067.07945538843
"FDJ10","OUT017",2364.31827307422
"FDG34","OUT046",1813.85119318896
"NCB18","OUT017",1501.03848165105
"FDM16","OUT049",1376.97601526337
"FDW25","OUT018",1079.97918421514
"FDB35","OUT010",-396.471139189218
"DRN11","OUT013",2298.35928353227
"FDF41","OUT019",1988.29750657813
"FDH16","OUT045",1374.15810512879
"NCQ50","OUT018",3064.74283184862
"DRH23","OUT018",616.772162375615
"DRJ37","OUT013",2460.40288250042
"DRJ24","OUT027",4368.32243782828
"FDY16","OUT035",3092.48994846633
"FDQ27","OUT045",1648.64536840085
"FDZ33","OUT045",2315.40017564104
"FDF29","OUT045",2058.36543719729
"FDA08","OUT049",2773.15681915297
"FDG31","OUT046",1071.21194208311
"FDE34","OUT019",1014.59189289605
"NCR30","OUT027",2631.38033604057
"FDV33","OUT035",4255.59245237338
"DRZ24","OUT018",1604.81480077144
"NCL54","OUT035",2892.7581378632
"FDR12","OUT049",2910.13293013184
"NCC54","OUT046",3780.63602751063
"DRN59","OUT013",789.681750664531
"FDX50","OUT019",-148.390205409985
"FDV31","OUT027",4302.27101505326
"NCA29","OUT027",4199.43690147273
"FDW60","OUT049",2940.69934652612
"FDX08","OUT017",3037.51061751157
"DRD49","OUT013",3722.86024834874
"FDD33","OUT046",3660.38332597017
"FDW35","OUT013",790.975419936233
"FDJ36","OUT017",1783.82175583091
"FDV51","OUT035",2826.85178479878
"FDW36","OUT046",1710.50261195484
"FDH35","OUT046",2635.75361828933
"NCS30","OUT027",3470.51695147708
"FDN49","OUT017",806.288826917354
"FDL08","OUT018",3623.25859354268
"FDI09","OUT013",3842.86710590722
"FDP19","OUT018",1766.94398684655
"FDU21","OUT010",-1275.64548240799
"NCP41","OUT045",1639.22318094364
"FDY10","OUT013",1820.31642495292
"FDP12","OUT018",423.836192224693
"NCN26","OUT049",1934.31259609277
"FDK44","OUT013",2815.16516712336
"FDC28","OUT049",1838.3609921202
"FDJ41","OUT027",5588.13889349147
"NCT29","OUT035",2085.18203068393
"NCH42","OUT019",1677.29096321415
"FDU60","OUT018",2425.26085057798
"FDS02","OUT045",3041.12393586835
"FDC51","OUT046",2023.53356533088
"FDU03","OUT013",2980.08222605782
"FDX39","OUT045",3345.55109402947
"NCY05","OUT010",-1284.25429383123
"NCL06","OUT027",5521.79029030098
"FDD32","OUT035",1513.06091217148
"NCN41","OUT045",1854.79195644114
"NCX53","OUT049",2357.4739280059
"FDU57","OUT019",533.322283569264
"FDQ23","OUT046",1678.69790467621
"FDQ52","OUT045",3841.30301278734
"FDC14","OUT045",675.488666311829
"FDY09","OUT035",2971.43081599368
"FDQ28","OUT045",2488.28725631152
"FDV25","OUT046",3474.69079795181
"FDJ07","OUT035",2011.01830465344
"DRB25","OUT049",1781.88719216281
"FDK52","OUT019",1645.09416381226
"FDY52","OUT027",2469.45793706003
"FDB28","OUT046",3132.71261224033
"FDT36","OUT035",783.569341305688
"FDV25","OUT017",3594.68339080223
"NCN07","OUT027",3484.83009898969
"FDC57","OUT017",3218.13551549176
"FDQ03","OUT018",3513.82014912981
"FDU23","OUT017",2805.26028558433
"NCX41","OUT035",3489.27455195867
"NCD06","OUT035",905.916047951091
"FDW08","OUT045",1641.02135510786
"NCU29","OUT017",2423.12168982211
"NCE06","OUT013",2559.38082584681
"FDV52","OUT010",-43.4303408688541
"FDB02","OUT017",2970.77908002922
"NCR18","OUT045",650.272213066498
"FDK16","OUT049",1614.19366165499
"NCQ29","OUT010",2121.41235975007
"FDZ01","OUT019",-180.433191963432
"FDW27","OUT035",2678.78854959613
"FDD17","OUT018",3474.74509009548
"FDW39","OUT013",2894.86059405238
"DRH59","OUT045",1130.95106069811
"FDS52","OUT013",1678.34909194281
"FDU40","OUT027",4540.76234960631
"NCF54","OUT013",2778.07204300188
"FDH46","OUT045",1615.46688275195
"NCP14","OUT049",1724.91745738155
"FDH50","OUT049",3070.99300254992
